Date,Time,Flow,AMLE,MLE,LAD
20210511,1200,2290,121150,121170,102620
20210512,1200,2210,113400,113420,96580
20210513,1200,2310,120850,120870,102300
20210514,1200,2570,142480,142500,118860
20210515,1200,2770,159490,159510,131760
20210516,1200,2960,176020,176040,144210
20210517,1200,3230,200860,200890,162810
20210518,1200,3430,219330,219360,176550
20210519,1200,3050,180050,180070,147180
20210520,1200,2890,163670,163690,134810
20210521,1200,2630,139380,139400,116310
20210522,1200,2320,112820,112830,95827
20210523,1200,2170,100380,100390,86110
20210524,1200,2120,95841,95856,82535
20210525,1200,2050,89998,90012,77917
20210526,1200,2670,136860,136880,114350
20210527,1200,2690,137350,137370,114730
20210528,1200,2670,134560,134580,112600
20210529,1200,2500,120000,120020,101360
20210530,1200,2420,112910,112930,95858
20210531,1200,2420,111970,111990,95135
20210601,1200,2470,114770,114780,97328
20210602,1200,2610,124380,124400,104830
20210603,1200,2750,134150,134170,112430
20210604,1200,2780,135380,135390,113420
20210605,1200,2620,122070,122090,103130
20210606,1200,2270,96128,96142,82796
20210607,1200,1990,77099,77111,67644
20210608,1200,1830,66788,66798,59327
20210609,1200,1720,59933,59942,53747
20210610,1200,2330,97090,97103,83689
20210611,1200,2280,93026,93038,80496
20210612,1200,1880,67638,67648,60085
20210613,1200,1750,59784,59792,53679
20210614,1200,1740,58790,58799,52882
20210615,1200,1690,55668,55676,50324
20210616,1200,1570,49051,49058,44840
20210617,1200,1420,41380,41387,38405
20210618,1200,1330,36944,36950,34644
20210619,1200,1260,33602,33607,31788
20210620,1200,1180,29995,29999,28677
20210621,1200,1120,27367,27371,26393
20210622,1200,1060,24855,24858,24190
20210623,1200,1020,23195,23198,22726
20210624,1200,1000,22318,22321,21952
20210625,1200,896,18537,18539,18560
20210626,1200,824,16065,16067,16311
20210627,1200,764,14109,14111,14511
20210628,1200,712,12497,12499,13010
20210629,1200,662,11027,11028,11625
20210630,1200,611,9612,9613,10277
20210701,1200,598,9231,9232,9912
20210702,1200,633,10089,10091,10738
20210703,1200,553,8036,8037,8755
20210704,1200,504,6863,6864,7601
20210705,1200,468,6045,6045,6785
20210706,1200,439,5414,5415,6150
20210707,1200,419,4992,4992,5720
20210708,1200,401,4623,4624,5342
20210709,1200,386,4324,4325,5033
20210710,1200,367,3963,3963,4657
20210711,1200,352,3686,3686,4366
20210712,1200,334,3367,3367,4029
20210713,1200,320,3127,3127,3772
20210714,1200,307,2910,2910,3539
20210715,1200,293,2686,2686,3296
20210716,1200,283,2529,2529,3125
20210717,1200,276,2420,2421,3006
20210718,1200,268,2300,2300,2874
20210719,1200,258,2155,2155,2713
20210720,1200,253,2082,2083,2632
20210721,1200,256,2121,2121,2676
20210722,1200,253,2077,2077,2628
20210723,1200,237,1861,1861,2384
20210724,1200,223,1679,1679,2177
20210725,1200,214,1567,1567,2048
20210726,1200,207,1481,1481,1950
20210727,1200,202,1422,1422,1881
20210728,1200,199,1387,1387,1840
20210729,1200,192,1306,1306,1746
20210730,1200,187,1250,1250,1681
20210731,1200,178,1152,1152,1564
20210801,1200,183,1207,1207,1631
20210802,1200,403,4458,4458,5260
20210803,1200,359,3690,3690,4439
20210804,1200,245,1967,1968,2525
20210805,1200,208,1501,1501,1985
20210806,1200,202,1432,1432,1905
20210807,1200,227,1741,1741,2270
20210808,1200,200,1413,1414,1887
20210809,1200,230,1785,1786,2327
20210810,1200,216,1613,1613,2127
20210811,1200,190,1307,1307,1765
20210812,1200,175,1143,1143,1568
20210813,1200,165,1039,1039,1442
20210814,1200,157,959,959,1345
20210815,1200,152,912,912,1287
20210816,1200,148,875,875,1243
20210817,1200,145,849,849,1211
20210818,1200,150,902,902,1279
20210819,1200,171,1126,1126,1561
20210820,1200,175,1175,1175,1623
20210821,1200,185,1293,1294,1772
20210822,1200,303,2921,2921,3701
20210823,1200,234,1922,1922,2538
20210824,1200,185,1311,1311,1803
20210825,1200,166,1102,1102,1545
20210826,1200,158,1020,1021,1445
20210827,1200,150,941,941,1346
20210828,1200,146,905,905,1302
20210829,1200,143,880,880,1272
20210830,1200,138,834,834,1215
20210831,1200,131,770,770,1133
20210901,1200,127,736,736,1090
20210902,1200,126,731,731,1086
20210903,1200,125,726,726,1082
20210904,1200,123,712,712,1065
20210905,1200,121,698,698,1048
20210906,1200,118,674,674,1018
20210907,1200,116,660,660,1001
20210908,1200,114,646,647,985
20210909,1200,113,642,642,981
20210910,1200,113,647,647,990
20210911,1200,114,662,662,1012
20210912,1200,116,687,687,1049
20210913,1200,114,673,673,1032
20210914,1200,111,650,650,1002
20210915,1200,112,665,665,1026
20210916,1200,109,642,642,995
20210917,1200,106,618,618,965
20210918,1200,107,634,634,989
20210919,1200,125,828,828,1259
20210920,1200,215,2036,2036,2843
20210921,1200,224,2197,2198,3055
20210922,1200,177,1511,1511,2180
20210923,1200,151,1176,1176,1742
20210924,1200,138,1024,1024,1543
20210925,1200,131,949,949,1445
20210926,1200,129,935,935,1430
20210927,1200,123,874,874,1348
20210928,1200,126,919,919,1415
20210929,1200,175,1593,1594,2330
20210930,1200,180,1687,1687,2460
20211001,1200,159,1392,1392,2073
20211002,1200,145,1210,1210,1832
20211003,1200,138,1128,1128,1725
20211004,1200,133,1073,1073,1655
20211005,1200,130,1046,1046,1621
20211006,1200,125,991,992,1550
20211007,1200,120,938,938,1479
20211008,1200,131,1097,1097,1707
20211009,1200,178,1835,1836,2726
20211010,1200,194,2138,2138,3140
20211011,1200,180,1915,1915,2850
20211012,1200,196,2227,2227,3279
20211013,1200,177,1909,1909,2859
20211014,1200,165,1723,1723,2614
20211015,1200,163,1710,1710,2605
20211016,1200,166,1784,1784,2715
20211017,1200,173,1933,1933,2929
20211018,1200,172,1939,1939,2947
20211019,1200,163,1799,1799,2762
20211020,1200,155,1677,1677,2602
20211021,1200,150,1610,1610,2516
20211022,1200,153,1685,1685,2630
20211023,1200,285,4703,4703,6710
20211024,1200,340,6333,6333,8848
20211025,1200,275,4558,4558,6561
20211026,1200,358,7066,7067,9848
20211027,1200,298,5330,5330,7621
20211028,1200,267,4522,4523,6577
20211029,1200,260,4390,4391,6422
20211030,1200,412,9345,9345,12901
20211031,1200,353,7392,7392,10422
20211101,1200,262,4628,4629,6807
20211102,1200,239,4041,4041,6035
20211103,1200,255,4551,4551,6748
20211104,1200,235,4039,4039,6075
20211105,1200,279,5411,5411,7958
20211106,1200,339,7518,7518,10790
20211107,1200,325,7120,7120,10298
20211108,1200,277,5571,5572,8258
