site,load,lower,upper,area_km2,area_load,area_load_lower,area_load_upper
Stites (13338500),5026,3278,7398,3024,1.662037037,1.083994709,2.446428571
Harpster (13338100),4138,2665,6154,2217,1.866486243,1.202074876,2.775823184
Elk City (13337500),1014,763,1323,677,1.497784343,1.127031019,1.954209749
Cottonwood Creek,204,128,309,499,0.408817635,0.256513026,0.619238477
Threemile Creek,47.3,20.8,93.9,86.3,0.548088065,0.241019699,1.08806489
Butcher Creek,14,9.5,20.2,43.6,0.321100917,0.217889908,0.463302752
Red River,74.1,52.9,101.1,129,0.574418605,0.410077519,0.78372093
SF Red River,49.5,30.4,76.5,97.4,0.508213552,0.31211499,0.785420945
