"","OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName","ActivityStartDateTime","ActivityEndDateTime"
"19","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100541","Sample-Routine","Water","Surface Water",2021-04-28,"12:45:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13337500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-96-A1 Bag Sampler",NA,"Stream flow, instantaneous",NA,822,"ft3/s",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"00061",NA,NA,NA,NA,NA,"QSTGQ","USGS","Discharge, stg-disch rating","USGS TWRI 3-A10","U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-04-28 19:45:00,NA
"20","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100672","Sample-Routine","Water","Surface Water",2021-06-08,"08:30:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13337500",NA,NA,"Falling stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US DH-95 plastic bottle",NA,"Turbidity","Total",1.7,"FNU",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"63680",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-06-08 15:30:00,NA
"21","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100672","Sample-Routine","Water","Surface Water",2021-06-08,"08:30:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13337500",NA,NA,"Falling stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US DH-95 plastic bottle",NA,"Suspended Sediment Concentration (SSC)","Suspended",3,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"80154",NA,NA,NA,NA,NA,"SED16","USGS","Sediment conc from size analysis",NA,"USGS-Cascades Volcano Obs Sed Analysis Lab, Vancouver, WA",2022-03-22,NA,"Lower Reporting Limit",1,"mg/l",2021-06-17,"NWIS",2021-06-08 15:30:00,NA
"22","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100440","Sample-Routine","Water","Surface Water",2021-03-24,"13:23:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-96 bag sampler",NA,"Suspended Sediment Concentration (SSC)","Suspended",7,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"80154",NA,NA,NA,NA,NA,"SED16","USGS","Sediment conc from size analysis",NA,"USGS-Cascades Volcano Obs Sed Analysis Lab, Vancouver, WA",2021-09-24,NA,"Lower Reporting Limit",1,"mg/l",2021-04-07,"NWIS",2021-03-24 20:23:00,NA
"23","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100440","Sample-Routine","Water","Surface Water",2021-03-24,"13:23:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-96 bag sampler",NA,"Suspended Sediment Discharge","Suspended",14,"tons/day",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"80155",NA,NA,NA,NA,NA,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,"NWIS",2021-03-24 20:23:00,NA
"24","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100541","Sample-Routine","Water","Surface Water",2021-04-28,"12:45:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13337500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-96-A1 Bag Sampler",NA,"Turbidity","Total",2.5,"FNU",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"63680",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-04-28 19:45:00,NA
"25","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100440","Sample-Routine","Water","Surface Water",2021-03-24,"13:23:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-96 bag sampler",NA,"Turbidity","Total",10,"FNU",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"63680",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-03-24 20:23:00,NA
"26","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100701","Sample-Routine","Water","Surface Water",2021-06-23,"10:50:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13337500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US DH-81",NA,"Suspended Sediment Concentration (SSC)","Suspended",4,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"80154",NA,NA,NA,NA,NA,"SED16","USGS","Sediment conc from size analysis",NA,"USGS-Cascades Volcano Obs Sed Analysis Lab, Vancouver, WA",2022-02-23,NA,"Lower Reporting Limit",1,"mg/l",2021-07-26,"NWIS",2021-06-23 17:50:00,NA
"27","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100701","Sample-Routine","Water","Surface Water",2021-06-23,"10:50:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13337500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US DH-81",NA,"Suspended Sediment Discharge","Suspended",1.9,"tons/day",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"80155",NA,NA,NA,NA,NA,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,"NWIS",2021-06-23 17:50:00,NA
"28","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100438","Sample-Routine","Water","Surface Water",2021-03-24,"13:45:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13337500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US DH-81",NA,"Stream flow, instantaneous",NA,163,"ft3/s",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"00061",NA,NA,NA,NA,NA,"QSCMM","USGS","Disch., meas., midsection","USGS TWRI 3-A8","U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-03-24 20:45:00,NA
"29","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100654","Sample-Routine","Water","Surface Water",2021-05-20,"16:30:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338500",NA,NA,"Falling stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-96-A1 Bag Sampler",NA,"Suspended Sediment Concentration (SSC)","Suspended",8,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"80154",NA,NA,NA,NA,NA,"SED16","USGS","Sediment conc from size analysis",NA,"USGS-Cascades Volcano Obs Sed Analysis Lab, Vancouver, WA",2021-12-16,NA,"Lower Reporting Limit",1,"mg/l",2021-06-04,"NWIS",2021-05-20 23:30:00,NA
"30","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100654","Sample-Routine","Water","Surface Water",2021-05-20,"16:30:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338500",NA,NA,"Falling stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-96-A1 Bag Sampler",NA,"Suspended Sediment Discharge","Suspended",62,"tons/day",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"80155",NA,NA,NA,NA,NA,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,"NWIS",2021-05-20 23:30:00,NA
"31","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100702","Sample-Routine","Water","Surface Water",2021-06-21,"15:50:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338100",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-95 plastic bottle",NA,"Turbidity","Total",0.5,"FNU",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"63680",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-06-21 22:50:00,NA
"32","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100702","Sample-Routine","Water","Surface Water",2021-06-21,"15:50:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338100",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-95 plastic bottle",NA,"Stream flow, instantaneous",NA,1060,"ft3/s",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"00061",NA,NA,NA,NA,NA,"QADCP","USGS","Disch., meas., ADCP moving boat","USGS OF 01-1","U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-06-21 22:50:00,NA
"33","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100702","Sample-Routine","Water","Surface Water",2021-06-21,"15:50:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338100",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-95 plastic bottle",NA,"Suspended Sediment Concentration (SSC)","Suspended",3,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"80154",NA,NA,NA,NA,NA,"SED16","USGS","Sediment conc from size analysis",NA,"USGS-Cascades Volcano Obs Sed Analysis Lab, Vancouver, WA",2022-02-23,NA,"Lower Reporting Limit",1,"mg/l",2021-07-26,"NWIS",2021-06-21 22:50:00,NA
"34","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100702","Sample-Routine","Water","Surface Water",2021-06-21,"15:50:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338100",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-95 plastic bottle",NA,"Suspended Sediment Discharge","Suspended",8.6,"tons/day",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"80155",NA,NA,NA,NA,NA,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,"NWIS",2021-06-21 22:50:00,NA
"35","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100655","Sample-Routine","Water","Surface Water",2021-05-24,"12:50:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338500",NA,NA,"Falling stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-96-A1 Bag Sampler",NA,"Stream flow, instantaneous",NA,2220,"ft3/s",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"00061",NA,NA,NA,NA,NA,"QADCP","USGS","Disch., meas., ADCP moving boat","USGS OF 01-1","U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-05-24 19:50:00,NA
"36","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100655","Sample-Routine","Water","Surface Water",2021-05-24,"12:50:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338500",NA,NA,"Falling stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-96-A1 Bag Sampler",NA,"Turbidity","Total",2,"FNU",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"63680",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-05-24 19:50:00,NA
"37","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100655","Sample-Routine","Water","Surface Water",2021-05-24,"12:50:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338500",NA,NA,"Falling stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-96-A1 Bag Sampler",NA,"Suspended Sediment Concentration (SSC)","Suspended",5,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"80154",NA,NA,NA,NA,NA,"SED16","USGS","Sediment conc from size analysis",NA,"USGS-Cascades Volcano Obs Sed Analysis Lab, Vancouver, WA",2021-12-22,NA,"Lower Reporting Limit",1,"mg/l",2021-06-04,"NWIS",2021-05-24 19:50:00,NA
"38","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100655","Sample-Routine","Water","Surface Water",2021-05-24,"12:50:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338500",NA,NA,"Falling stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-96-A1 Bag Sampler",NA,"Suspended Sediment Discharge","Suspended",30,"tons/day",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"80155",NA,NA,NA,NA,NA,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,"NWIS",2021-05-24 19:50:00,NA
"39","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100542","Sample-Routine","Water","Surface Water",2021-05-06,"13:30:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13337500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-95 plastic bottle",NA,"Stream flow, instantaneous",NA,1010,"ft3/s",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"00061",NA,NA,NA,NA,NA,"QSTGQ","USGS","Discharge, stg-disch rating","USGS TWRI 3-A10","U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-05-06 20:30:00,NA
"40","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100542","Sample-Routine","Water","Surface Water",2021-05-06,"13:30:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13337500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-95 plastic bottle",NA,"Turbidity","Total",3.7,"FNU",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"63680",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-05-06 20:30:00,NA
"41","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100542","Sample-Routine","Water","Surface Water",2021-05-06,"13:30:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13337500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-95 plastic bottle",NA,"Suspended Sediment Concentration (SSC)","Suspended",8,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"80154",NA,NA,NA,NA,NA,"SED16","USGS","Sediment conc from size analysis",NA,"USGS-Cascades Volcano Obs Sed Analysis Lab, Vancouver, WA",2021-12-22,NA,"Lower Reporting Limit",1,"mg/l",2021-05-13,"NWIS",2021-05-06 20:30:00,NA
"42","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100542","Sample-Routine","Water","Surface Water",2021-05-06,"13:30:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13337500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-95 plastic bottle",NA,"Suspended Sediment Discharge","Suspended",22,"tons/day",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"80155",NA,NA,NA,NA,NA,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,"NWIS",2021-05-06 20:30:00,NA
"43","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100705","Sample-Routine","Water","Surface Water",2021-06-23,"14:40:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-95 plastic bottle",NA,"Stream flow, instantaneous",NA,1060,"ft3/s",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"00061",NA,NA,NA,NA,NA,"QSTGQ","USGS","Discharge, stg-disch rating","USGS TWRI 3-A10","U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-06-23 21:40:00,NA
"44","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100705","Sample-Routine","Water","Surface Water",2021-06-23,"14:40:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-95 plastic bottle",NA,"Turbidity","Total",1.2,"FNU",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"63680",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-06-23 21:40:00,NA
"45","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100705","Sample-Routine","Water","Surface Water",2021-06-23,"14:40:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-95 plastic bottle",NA,"Suspended Sediment Concentration (SSC)","Suspended",4,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"80154",NA,NA,NA,NA,NA,"SED16","USGS","Sediment conc from size analysis",NA,"USGS-Cascades Volcano Obs Sed Analysis Lab, Vancouver, WA",2022-03-22,NA,"Lower Reporting Limit",1,"mg/l",2021-07-26,"NWIS",2021-06-23 21:40:00,NA
"46","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100705","Sample-Routine","Water","Surface Water",2021-06-23,"14:40:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-95 plastic bottle",NA,"Suspended Sediment Discharge","Suspended",11,"tons/day",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"80155",NA,NA,NA,NA,NA,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,"NWIS",2021-06-23 21:40:00,NA
"47","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100544","Sample-Routine","Water","Surface Water",2021-04-28,"15:10:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338100",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-96-A1 Bag Sampler",NA,"Stream flow, instantaneous",NA,1930,"ft3/s",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"00061",NA,NA,NA,NA,NA,"QADCP","USGS","Disch., meas., ADCP moving boat","USGS OF 01-1","U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-04-28 22:10:00,NA
"48","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100544","Sample-Routine","Water","Surface Water",2021-04-28,"15:10:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338100",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-96-A1 Bag Sampler",NA,"Turbidity","Total",3.4,"FNU",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"63680",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-04-28 22:10:00,NA
"49","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100585","Sample-Routine","Water","Surface Water",2021-05-12,"12:10:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338100",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-96-A1 Bag Sampler",NA,"Turbidity","Total",2.6,"FNU",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"63680",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-05-12 19:10:00,NA
"50","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02101267","Sample-Routine","Water","Surface Water",2021-05-06,"13:40:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338100","changed time to match the bottles and time written on the tag",NA,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",NA,"Suspended Sediment Concentration (SSC)","Suspended",19,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"80154",NA,NA,NA,NA,NA,"SED16","USGS","Sediment conc from size analysis",NA,"USGS-Cascades Volcano Obs Sed Analysis Lab, Vancouver, WA",2022-02-16,NA,"Lower Reporting Limit",1,"mg/l",2021-05-13,"NWIS",2021-05-06 20:40:00,NA
"51","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100701","Sample-Routine","Water","Surface Water",2021-06-23,"10:50:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13337500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US DH-81",NA,"Stream flow, instantaneous",NA,176,"ft3/s",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"00061",NA,NA,NA,NA,NA,"QSTGQ","USGS","Discharge, stg-disch rating","USGS TWRI 3-A10","U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-06-23 17:50:00,NA
"52","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100701","Sample-Routine","Water","Surface Water",2021-06-23,"10:50:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13337500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US DH-81",NA,"Turbidity","Total",1,"FNU",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,NA,"63680",NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline",NA,NA,NA,NA,NA,NA,"NWIS",2021-06-23 17:50:00,NA
"53","USGS-ID","USGS Idaho Water Science Center","nwisid.01.02100704","Sample-Routine","Water","Surface Water",2021-06-22,"08:10:00","PDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-13338500",NA,NA,"Stable, normal stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-95 plastic bottle",NA,"Suspended Sediment Concentration (SSC)","Suspended",4,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"80154",NA,NA,NA,NA,NA,"SED16","USGS","Sediment conc from size analysis",NA,"USGS-Cascades Volcano Obs Sed Analysis Lab, Vancouver, WA",2022-03-22,NA,"Lower Reporting Limit",1,"mg/l",2021-07-26,"NWIS",2021-06-22 15:10:00,NA
